UPRN,Single_Line_Address,Postcode,Local_Authority_District,Longitude,Latitude,Planned,OCC Comment
10011897693,"MAKIN ORGANS, FEATHERBED COURT, MIXBURY, BRACKLEY, NN13 5RN",NN13 5RN,Cherwell,-1.1140598,51.9882425,No known plans,None
10011876492,"MIDDLE FARM, MIXBURY, BRACKLEY, NN13 5RN",NN13 5RN,Cherwell,-1.1141988,51.9878389,No known plans,None
10011905361,"MOVADA GROUP, FEATHERBED COURT, MIXBURY, BRACKLEY, NN13 5RN",NN13 5RN,Cherwell,-1.1140042,51.9881072,No known plans,None
10011905360,"NEW BARNS, FEATHERBED COURT, MIXBURY, BRACKLEY, NN13 5RN",NN13 5RN,Cherwell,-1.1140042,51.9881072,No known plans,None
10011939969,"NORTH BARN, FEATHERBED COURT, FEATHERBED LANE, MIXBURY, NN13 5RN",NN13 5RN,Cherwell,-1.1136823,51.9881077,No known plans,None
10011905359,"PRYOR AND RICKETT SILVICULTURE, SUITE 2 BUILDING 2, FEATHERBED COURT, FEATHERBED LANE, MIXBURY, NN13 5RN",NN13 5RN,Cherwell,-1.1140042,51.9881072,No known plans,None
10011939968,"SOUTH BARN, FEATHERBED COURT, FEATHERBED LANE, MIXBURY, NN13 5RN",NN13 5RN,Cherwell,-1.1137721,51.9879706,No known plans,None
10011916579,"SUITE 1 BUILDING 2, FEATHERBED COURT, FEATHERBED LANE, MIXBURY, NN13 5RN",NN13 5RN,Cherwell,-1.1140042,51.9881072,No known plans,None
10011877394,"10 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1158726,51.9997379,No known plans,None
10011877389,"11 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1159625,51.9996127,No known plans,None
10011877393,"12 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1159925,51.999568,No known plans,None
10011877388,"13 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1160376,51.9994964,No known plans,None
10011877387,"14 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1162159,51.9993179,No known plans,None
10011876489,"15 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.116217,51.999264,No known plans,None
10011877386,"16 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1162468,51.9992282,No known plans,None
10011877419,"17 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1162917,51.9991656,No known plans,None
10011877255,"18 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1164116,51.9989957,No known plans,None
10011877385,"19 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1164569,51.9989151,No known plans,None
10011877384,"20 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1164869,51.9988704,No known plans,None
10011877383,"21 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1165167,51.9988346,No known plans,None
10011876293,"22 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1166956,51.9986292,No known plans,None
10011916969,"23 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1166961,51.9985661,No known plans,None
10011877382,"24 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1167266,51.9985305,No known plans,None
10011877406,"26 MIXBURY, BRACKLEY, NN13 5RR",NN13 5RR,Cherwell,-1.1164247,51.9983304,No known plans,None
